id,Houses,road_length,road_count,NTLsum,Populationsum,lat,long,name
78,15032,350843.501,1608,1238,283844.8952,31.501559,74.306762,Purple1
112,1492,374097.6201,2060,1191,241286.8163,31.570236,74.412914,Purple2
79,28690,447972.9034,2157,1548,301255.7753,31.468374,74.301385,Purple3
102,10616,313793.6012,1702,1488,238060.3797,31.4859,74.3735,Purple4
80,25231,324352.8381,1554,1471,203142.6281,31.444512,74.309754,Purple5
76,647,522175.7268,5265,1253,298685.5204,31.565131,74.310783,Purple6
103,21035,372722.8317,1622,1854,271816.3411,31.480284,74.404699,Purple7
90,9327,349920.4518,1485,1252,290190.2486,31.485875,74.340391,Node 8
100,4483,562076.6877,4160,1473,235460.2374,31.587203,74.407602,Node 6
103,21035,372722.8317,1622,1854,271816.3411,31.47178,74.408864,Node 4
